Label,OpArea, OpStaticEnergy, OpDynEnergy,InstMemBitwidth, InstMemDepth,InstMemArea, InstMemStaticEn,InstMemDynEn,InternalRegFileBitwidth,InternalRegFileDepth,InternalRegFileAccesses,InternalRegFileArea, InternalRegFileStaticEn, InternalRegFileDynEn,TotalFUArea,TotalFUStaticEn,TotalFUDynEn
add_0,1854.383979,0.361825,2.436780,32,11,2491.103974,0.507700,0.022152,64,10,34,4480.223954,1.021450,1.479913,8825.711907,1.405427,28.528164
add_1,1854.383979,0.361825,2.436780,32,6,1439.759984,0.292855,0.011999,64,6,16,2820.047970,0.578450,0.370639,6114.191933,0.952274,15.063311
add_2,1854.383979,0.361825,2.436780,32,3,817.487992,0.165655,0.010257,64,3,6,1605.407984,0.327800,0.121059,4277.279955,0.699882,7.462170
mul_0,33555.311530,6.193750,52.428970,32,19,4155.311956,0.855050,0.030925,64,21,74,8944.319904,1.922350,5.448222,46654.943390,8.147025,1002.186222
mul_1,33555.311530,6.193750,52.428970,32,6,1439.759984,0.292855,0.011999,64,9,20,4063.247954,0.910000,0.733937,39058.319468,7.115749,315.379748
load_0,0,0,0,16,50,5505.315299,1.113500,0.067021,64,1,69,781.945432,0.162846,1.039456,6287.260731,1.276346,4.390483
store_0,0,0,0,16,1,209.528638,0.041625,0.004234,64,1,2,781.945432,0.162846,0.030129,991.474070,0.204471,0.034364
store_1,0,0,0,16,2,308.447998,0.061345,0.004658,64,2,4,1182.383988,0.237495,0.080036,1490.831986,0.298840,0.089351
store_2,0,0,0,16,1,209.528638,0.041625,0.004234,64,1,2,781.945432,0.162846,0.030129,991.474070,0.204471,0.034364
store_3,0,0,0,16,1,209.528638,0.041625,0.004234,64,1,2,781.945432,0.162846,0.030129,991.474070,0.204471,0.034364
