Label,OpArea, OpStaticEnergy, OpDynEnergy,InstMemBitwidth, InstMemDepth,InstMemArea, InstMemStaticEn,InstMemDynEn,InternalRegFileBitwidth,InternalRegFileDepth,InternalRegFileAccesses,InternalRegFileArea, InternalRegFileStaticEn, InternalRegFileDynEn,TotalFUArea,TotalFUStaticEn,TotalFUDynEn
add_0,1854.383979,0.361825,2.436780,32,9,2075.807976,0.424290,0.021108,64,8,28,3638.543966,0.771000,1.023077,7568.735921,1.153933,23.144069
add_1,1854.383979,0.361825,2.436780,32,6,1439.759984,0.292855,0.011999,64,8,18,3638.543966,0.771000,0.657693,6932.687929,1.144824,15.350364
add_2,1854.383979,0.361825,2.436780,32,3,817.487992,0.165655,0.010257,64,3,8,1605.407984,0.327800,0.161412,4277.279955,0.699882,7.502523
add_3,1854.383979,0.361825,2.436780,32,2,598.751994,0.119785,0.010196,64,2,4,1182.383988,0.237495,0.080036,3635.519961,0.609516,4.973988
mul_0,33555.311530,6.193750,52.428970,32,24,5160.287944,1.071250,0.035854,64,26,94,10996.717321,2.323649,14.965372,49712.316795,8.553253,1274.121151
mul_1,33555.311530,6.193750,52.428970,32,1,399.260876,0.076313,0.006251,64,1,2,781.945432,0.162846,0.030129,34736.517838,6.362846,52.465350
load_0,0,0,0,16,50,5505.315299,1.113500,0.067021,64,1,69,781.945432,0.162846,1.039456,6287.260731,1.276346,4.390483
store_0,0,0,0,16,1,209.528638,0.041625,0.004234,64,1,2,781.945432,0.162846,0.030129,991.474070,0.204471,0.034364
store_1,0,0,0,16,2,308.447998,0.061345,0.004658,64,2,4,1182.383988,0.237495,0.080036,1490.831986,0.298840,0.089351
store_2,0,0,0,16,1,209.528638,0.041625,0.004234,64,1,2,781.945432,0.162846,0.030129,991.474070,0.204471,0.034364
store_3,0,0,0,16,1,209.528638,0.041625,0.004234,64,1,2,781.945432,0.162846,0.030129,991.474070,0.204471,0.034364
